place_id,user_id,score,comment
가마솥뼈다귀해장국,현경환,5.0,조와요
가마솥뼈다귀해장국,성부용,1.0,맞없어
가마솥뼈다귀해장국,윤여일,3.0,해장국집 평타
가마솥뼈다귀해장국,JK Lee,5.0,맛있음
가마솥뼈다귀해장국,ᄋᄋ,5.0,맛잇어
가마솥뼈다귀해장국,투재,4.0,해장국 굿굿
가마솥뼈다귀해장국,seong won myung,5.0,Meat is good. Swift service and the soup was great quality. Good to go if you are not familiar with that area.
가마솥뼈다귀해장국,Dong Wook KIM (블라시오),3.0,
가마솥뼈다귀해장국,도현철,5.0,
가마솥뼈다귀해장국,은성,5.0,
가마솥뼈다귀해장국,seungheon son,4.0,
가마솥뼈다귀해장국,언양 토박이,1.0,위생관념 제로인 식당임.수저랑 계산서랑 같은 통에 담아서 주고 반찬위에 다른 그릇 얹어서 주길래주인장한테 이야기 했더니  그게 뭐가 문제냐식으로 대답함.그릇 소독했기에 반찬위에 올려도 문제없다는 식으로  말하길래 어이없었음.주인장 개념이 저러니  종업원도 개념없음.전 주인은 참 잘했는데 주인 바뀌고 개판임.
가마솥뼈다귀해장국,소소,1.0,들어가는데 손님보고 인사도 안하는 카운터 직원에 6시인데 마감이라고 끝났다는 불친절한 직원에 진짜 밥맛 떨어져서 다시는 안가고 싶은집장사 잘된다고 손님한테 신경도 안쓰는 저런집 가지마세요 별한개도 아깝다
가마솥뼈다귀해장국,이재웅,5.0,
가마솥뼈다귀해장국,🌸사진으로 추억 남기기🌸,5.0,
가마솥뼈다귀해장국,Evanee,4.0,맛있긴하다.오래동안 줄 서서먹기는 싫을것 같음..손님 많아서점심시간에일찍 가야하고웨이팅있어여
가마솥뼈다귀해장국,mystery0ne,5.0,뼈가 듬뿍 들어 있어요.
가마솥뼈다귀해장국,조경주,4.0,
가마솥뼈다귀해장국,깜짝맘,5.0,
가마솥뼈다귀해장국,이수희,4.0,시원하고 얼큰한맛 좋아요
가마솥뼈다귀해장국,염 지호,1.0,참 얼척이 없네요.지금껏 단골로 열심히 먹어 왔는데 이게 왠 날벼락 이레요.음식에서 수세미 조각이 나왔네요.두번 다시 먹고 싶지 않네요.장사가 잘 되면 더 신경을 써야지 이게 뭔지 모르겠네요.
가마솥뼈다귀해장국,사노라면,1.0,"뭐그리 대단한 음식 판다고, 엄청 불친절함. 맛을 떠나서 장사하는 자세가 틀려먹었음."
가마솥뼈다귀해장국,스패로우,1.0,직원들 드럽게 시끄러움 코로나시대 마스크도 낀둥마는둥 침튀기면서 주문을 고함꽥꽥질러 가며일하네요
가마솥뼈다귀해장국,글쎄요,5.0,양많고 맛있고 반찬은 가서 먹어도 깍두기랑 고추양파뿐이에요...공기밥도 가득 다 채워줌..둘이서 전골 소짜 먹기 벅찰정도
가마솥뼈다귀해장국,곽블리들,2.0,포장은 전골만 가능하네요. 게다가 밑반찬은 단 1도 없이 그냥 전골만 포장해주세요. 맛이라도 굉장히 좋으면 다행인데 그냥...어디선가 맛본 진한 조미료맛이 강해요. 고기는 부드럽기보다 좀 터벅거리구요. 매콤하긴 하네요.
가마솥뼈다귀해장국,소시,5.0,여기 맛있어요언양오면 들리는 맛집입니다
가마솥뼈다귀해장국,LDR,5.0,삼남면이나 언양살면 뼈다귀는 사실 여기가 제일 맛있고 좋다는거 다들알거임
가마솥뼈다귀해장국,포동포동,4.0,
가마솥뼈다귀해장국,ㅗ,5.0,
가마솥뼈다귀해장국,Youb,3.0,달짝지근~~~~괜찮네요  전체적으로 부드럽고 신선한듯생돼지뼈라하니~~시래기도 마찬가지^하산길에 ㅎ
가마솥뼈다귀해장국,박보성,5.0,내 인생 최고의 뼈해장국집
가마솥뼈다귀해장국,희야,5.0,굿이죠!
가마솥뼈다귀해장국,바디걸즈,4.0,
