place_id,user_id,score,comment
라멘집입니다 울산성안점,정현석,5.0,
라멘집입니다 울산성안점,B.G. P,5.0,
라멘집입니다 울산성안점,yh2a,4.0,
라멘집입니다 울산성안점,김홍백,5.0,
라멘집입니다 울산성안점,김민정,5.0,
라멘집입니다 울산성안점,윤쓰으,4.0,
라멘집입니다 울산성안점,이주현,5.0,
라멘집입니다 울산성안점,Helper Lee,4.0,
라멘집입니다 울산성안점,한규남,5.0,
라멘집입니다 울산성안점,DY N,4.0,
라멘집입니다 울산성안점,제우스,4.0,
라멘집입니다 울산성안점,박참치,3.0,
라멘집입니다 울산성안점,Euna Jang,4.0,
라멘집입니다 울산성안점,정비루 (허스키베어),5.0,
라멘집입니다 울산성안점,지프롱,4.0,
라멘집입니다 울산성안점,chuja do,5.0,
라멘집입니다 울산성안점,로열패밀리,4.0,
라멘집입니다 울산성안점,2un0,5.0,
라멘집입니다 울산성안점,니나노,5.0,
라멘집입니다 울산성안점,김더건,4.0,
라멘집입니다 울산성안점,ZELDA,1.0,"돈코츠라면 특유의 기름기로 쩍 붙는 끝맛도 없고, 밍숭한 국물에 조미료로 맛을 흉내낸 느낌만 가득한 맛이었으며
일본식 차슈는 맛간장에 돼지고기를 넣어 조림식으로 만들어 내는데
이집은 삼겹살을 구워서 냈고,…"
라멘집입니다 울산성안점,DoYoon HG,3.0,"점심시간에 일찍 안가시면 대기하셔야해요
기본적인 돈코츠라멘맛인것 같은데.. 교자만두는 안에 육즙이 많이 들어있었어요
엄청 맛있다기보다는 기본적인 맛이에요"
라멘집입니다 울산성안점,JIN HWAN LEE,3.0,"소소함~ 가게앞 주차장있음(3-4대)
디게 맛있는진 모르겠네요"
라멘집입니다 울산성안점,임정택,5.0,"메뉴가 소품종 단일화되어 주문 후 식사 나오기까지 리드타임이 짧음.
국물 맛이 맵지도 짜지도 않아 좋음"
라멘집입니다 울산성안점,지니(지니),4.0,"양도 많고((다른 지점보다)), 맛도 있고 방역에 엄청 신경쓰시는게 보여서 편안하게 먹고왔네요^^"
라멘집입니다 울산성안점,Jay seon,4.0,"기본은 먹기좋고 얼큰한맛은 신라면보다 맵다라고  보시고 기본과 얼큰 중간맛도 주문 됩니다
계란밥과 군만두는  익숙한맛이에요
단가는 모든라멘집들 정도 입니다."
라멘집입니다 울산성안점,ddongja,5.0,기본차슈가 좀 적은거 빼고 좋음
라멘집입니다 울산성안점,H.M. LEE,4.0,"라멘 맛이 꽤 좋습니다. 라멘 생각 날 때 고민없이 들를 곳을 찾았네요. 가게 주차장은 좁아도 근처에 차를 둘 곳은 좀 있고요.
라멘 종류가 돈코츠 하나뿐이고 초밥도 밥이 약간 떡진 느낌이 있었기 때문에 별 네 개 드립니다."
라멘집입니다 울산성안점,Yeonji Park,5.0,돈코츠라멘 먹었고 양이 많습니다. 맛도 있고 추천드립니다. 점심엔 사람이 많을 수 있습니다.
라멘집입니다 울산성안점,이민규,1.0,"커피를 마시고 늦게 방문 한 곳
먹고 있는데 나가라고 압박받은 곳
허겁지겁 먹어 맛을 제대로 느끼지 못한 곳
서비스가 좋지 않아 다신 가지 않을 곳"
라멘집입니다 울산성안점,JIEUN CHA,5.0,국물이 개운했고 면발이 특이했어요
라멘집입니다 울산성안점,jun jun,4.0,주차하기 편리한 위치에 있습니다. 돈코츠라멘 먹었는데 무난하게 맛있네요 육수는 진한맛이 아니라서 조금 아쉽습니다 조금더 진한육수 였으면 좋겠습니다
라멘집입니다 울산성안점,서주현,5.0,"서비스 너무 좋고,  맛있어요.
라면 잘먹는 사람들은 면추가하면 그릇따로해서 국물에 담아 줍니다."
라멘집입니다 울산성안점,선태,2.0,"맛좀 변함
옛날엔 개절맛이엿는데"
라멘집입니다 울산성안점,juni kim,5.0,소바 국물의 간이 적절했고 라멘의 국물도 느끼하지 않고 계속 흡입하게 하는 맛있는 맛 면의 삶기도 적절
라멘집입니다 울산성안점,Donghyeok Oh,5.0,"전 여길 자주가진않지만 벌써 2년 전부터 알게되었네요 올때마다 맛있고 도로앞 탁트인 울산시내 경치보며 갑니다.
뭐 다 필요없고 기본적으로 음식이 맛나요 안그러면 여기 찾아올 필요가 없음ㅋ"
라멘집입니다 울산성안점,안홍기,1.0,"라멘집입니다.??!!  과연??
누구나~ 입! 맛은 각양각색이다.
하지만, 면은 일반 《 국수 면 》…"
라멘집입니다 울산성안점,dongjin shin (송백),4.0,"메뉴가 간단하고 좋습니다.
맛도 이정도면 괜찮고.  주차하기도 좋고.
매운라멘 보다는 그냥 라멘이 좋은것 같습니다.  사이드 만두도 이정도면......"
라멘집입니다 울산성안점,강우석,3.0,돈코츠라멘 별로 맛있지는 않음
라멘집입니다 울산성안점,김병삼 (고인돌),5.0,돈코츠 라멘이 맛있는 성안동 맛집
라멘집입니다 울산성안점,사공슈터,5.0,"와우
맛있어요
꼭 드셔보세요"
라멘집입니다 울산성안점,신현욱,5.0,친절하고 메뉴들이 맛도 좋았습니다 12시에서 2시사이에 간다면 좀 붐빌수 있습니다
라멘집입니다 울산성안점,시월,5.0,짱짱. 너무좋아요 🥺 몇분뒤에 주시길래 물나왔나 했더니 바로나옴 ... 진짜 양도 대박이거 든든하고 배부르게 먹었어요…
라멘집입니다 울산성안점,현또니,3.0,초밥이 정말맛있어용~~~
라멘집입니다 울산성안점,YK L,5.0,여태껏 먹었던 라멘가게 중에서도 정말로 맛있는 집이였습니다. 울산을 또 오게된다면 한번더 방문하고싶네요
라멘집입니다 울산성안점,장성현 (오늘행복을담다),3.0,여기는 점점 국물 맛이 연해 지는것 같습니다 초창기 찐한 돈코츠 국물 맛은 어디로 갔나요~?
라멘집입니다 울산성안점,이경미,4.0,집주변에 있는 라멘집인데 이미 소문이 파다..  맛있다구 난리 국물도 너무깔끔 2번3번 계속 재방문중ㅎㅎ
라멘집입니다 울산성안점,노현길,5.0,국물은 맛있어요 하지만 면이 소면같아서 면은별로였음
라멘집입니다 울산성안점,오정선,5.0,가격도 착하고 모든 메뉴가 맛있어요. 돈코라멘 얼큰 맛 정말 맛있어요
라멘집입니다 울산성안점,WY jeong,4.0,맛이 일정하고 메뉴가 라멘에 집중해 신뢰있는 맛집
라멘집입니다 울산성안점,Yenny Kim,5.0,돈코츠라멘 + 교자 꿀조합. 소고기 초밥도 추가해서 먹으면 맛있어요.
라멘집입니다 울산성안점,하경수,3.0,순한맛은 괜찮았으나 매운맛은..먹고나면 속아픈 매운맛이었네요..
라멘집입니다 울산성안점,gihyun im,5.0,"일주일사이 3번이나 간곳이에요.
저렴한 가격과 맛까지 최고에요~~"
라멘집입니다 울산성안점,Jason (이재승 20238230),3.0,쏘쏘합니다 얼큰은 조금 매워요
라멘집입니다 울산성안점,pinkred,5.0,"음식이 빨리나와서 좋아요
계란이 맛있음"
라멘집입니다 울산성안점,권기현,5.0,일본식 라멘..맛나요..소고기 초밥 등 초밥도 괜찮아요
라멘집입니다 울산성안점,제혜주,5.0,음식이 맛있고 매장이 깔끔하고 직원분도 친절해서 좋았습니당
라멘집입니다 울산성안점,leo kim,5.0,맛있습니다 차슈도 부드럽고 달걀은 짭쪼름 굿입니다
라멘집입니다 울산성안점,최영자,4.0,굿굿
라멘집입니다 울산성안점,김희수,4.0,맛나요~ 계란이 넘 맛나서 항상 추가^^ 번창하세용
라멘집입니다 울산성안점,WON SIK KIM,4.0,분위기와 주위 풍경과 함께 먹을 수 있어 좋아요.
라멘집입니다 울산성안점,Bokam Bae,4.0,"한국식 일본 라멘!
맛은 좋아요!"
라멘집입니다 울산성안점,돌이킬수없는,5.0,"일주일에 2번은 먹어요.
존맛"
라멘집입니다 울산성안점,yoonhoonfafa,3.0,음식이 전반적으로 짭니다.
라멘집입니다 울산성안점,변동우,4.0,맛있어요.!!!
라멘집입니다 울산성안점,KPOP DANCE,4.0,괜찮네요 골고루 먹어 봤는데
라멘집입니다 울산성안점,배프로,3.0,진장점보다 못하네요
라멘집입니다 울산성안점,Namgi Kim,4.0,맛은있으나 면이 좀퍼진느낌?
라멘집입니다 울산성안점,신원창,4.0,맛보다 친절하게 맞아조네요
라멘집입니다 울산성안점,achilles jang,3.0,맛있네요...
라멘집입니다 울산성안점,Eun A Kim,5.0,초밥이 맛있음  라메는 소소
라멘집입니다 울산성안점,배봉선,2.0,개인적으로 제취향은 아니었습니다
라멘집입니다 울산성안점,Minseo Kim (Jade),5.0,최고의라멘집. 중간맛 최고
라멘집입니다 울산성안점,ROY Kim,5.0,빨리나오고.존맛임!
라멘집입니다 울산성안점,dk,4.0,친절함. 국물 진함.
라멘집입니다 울산성안점,윤상돈,5.0,맛과 양 둘 다 만족
라멘집입니다 울산성안점,heffi st,5.0,차슈계란밥이랑 같이먹기
라멘집입니다 울산성안점,조일환,4.0,"맛은.. 보통,"
라멘집입니다 울산성안점,전미경,5.0,맛있어요
라멘집입니다 울산성안점,정jb,5.0,개굳
라멘집입니다 울산성안점,권정훈,4.0,맛있습니다
라멘집입니다 울산성안점,장민익,5.0,조아요
라멘집입니다 울산성안점,이원웅,5.0,좋아요
라멘집입니다 울산성안점,Jisoo Woo,4.0,먹을만함
라멘집입니다 울산성안점,ᄋ,4.0,쏘쏘!
라멘집입니다 울산성안점,하늘하늘,2.0,"엄~~~청 기대하고가서 그런가.
나름괜춘함"
라멘집입니다 울산성안점,Slim,5.0,
라멘집입니다 울산성안점,율우맘TV,5.0,
라멘집입니다 울산성안점,다크마리,4.0,
라멘집입니다 울산성안점,김훈배,5.0,
라멘집입니다 울산성안점,장재규,5.0,
라멘집입니다 울산성안점,박수진,4.0,
라멘집입니다 울산성안점,도은정,5.0,
라멘집입니다 울산성안점,김상현,5.0,
라멘집입니다 울산성안점,DY N (신정4동),3.0,
라멘집입니다 울산성안점,ehdwo007,5.0,
라멘집입니다 울산성안점,Jang Bin Lee 이장빈 (이장빈),5.0,
라멘집입니다 울산성안점,이양재,5.0,
라멘집입니다 울산성안점,김혜정,5.0,
라멘집입니다 울산성안점,정승연,5.0,
라멘집입니다 울산성안점,허리케인JO,5.0,
라멘집입니다 울산성안점,W K,4.0,
라멘집입니다 울산성안점,푸른녹색,5.0,
라멘집입니다 울산성안점,이원우,5.0,
라멘집입니다 울산성안점,daejin kim,4.0,
라멘집입니다 울산성안점,정순찬,5.0,
라멘집입니다 울산성안점,먕먕,5.0,
라멘집입니다 울산성안점,U nity,5.0,
라멘집입니다 울산성안점,황종록,3.0,
라멘집입니다 울산성안점,cho daniel,5.0,
