place_id,user_id,score,comment
명촌한식뷔페,정상숙,4.0,가끔씩 방문하면 좋아요
명촌한식뷔페,최정 (freedom),5.0,가성비 쩐다 8천원에 이정도면 만족해야지
명촌한식뷔페,이은정,4.0,가격대비 맛 있어요.
명촌한식뷔페,나무,5.0,생긴지 얼마 안되 맛있는 뷔페입니다
명촌한식뷔페,髙義弘,1.0,저녁먹으러4명이 44000 원내고입장 휴~~먹을게별로없네 음식들이 말라버린거같음별로먹을게없어서 다시는못갈거같음
명촌한식뷔페,정 유 동,4.0,
명촌한식뷔페,솔직히남김,5.0,10000원임종류가다양하고음식을 금방리필해주고전반적으로대부분의 음식이따뜻함 맛도 무난한편
명촌한식뷔페,홍~,2.0,음식은 좋으나 일하는 아줌마..사람이 가든 오든 사람 취급이나 좀 했음 ..좋겠음..지인캉 같이 갈려해도 그 아줌마 생각에 딱 가기 싫어짐
명촌한식뷔페,zion,5.0,9천원의 행복
명촌한식뷔페,바스티온,5.0,음식이 맛있고 깔끔해요^^
명촌한식뷔페,kim chang,4.0,저렴한가격에 음식가지수도 적당하고아쉬운점은 김밥이 없네요
명촌한식뷔페,요술공주,4.0,예전에 8000원할땐 좋았는데 9000원으로 오르니 잘 안 가지게 되네요
명촌한식뷔페,근돼미식가,5.0,상당히 맛있음뷔페치고 맛잇는것이지 뭐 어디 인당 5만원이상 받는 한식집 처럼 맛잇진않다하지만 가격대비 정말 최고의맛이라고 생각한다하나하나 다 손이가는 정성이잇는 그런집울산에서 한식뷔페 1탑
명촌한식뷔페,남강우,5.0,일반 한식부페가 6~8천원 수준인데 여기는 9천이라 비싼 듯 하지만 반찬 가지수를 보면 전혀 비싸지않음. 국이나 찌개 종류가 맛이 좀 덜하지만 대체로 평타는 치는 맛임.9천원이 아깝지 않다.
명촌한식뷔페,꽃향기,4.0,"닭고기등 튀김류가 바삭 바삭해서 좋앟고 잡채도 따끈 따끈 국물,디저트도 좋고 대부분 가격에 비해 너무 좋았어요."
명촌한식뷔페,ㅇ,5.0,맛집 추천 합니다
