place_id,user_id,score,comment
맥도날드 달동점,박종억,3.0,
맥도날드 달동점,최진혁,4.0,
맥도날드 달동점,빠빠,5.0,
맥도날드 달동점,Hyerim Lee (Erynn),5.0,
맥도날드 달동점,Herrypotter04,5.0,
맥도날드 달동점,김김김,5.0,
맥도날드 달동점,귀튼커신,4.0,
맥도날드 달동점,바다,5.0,
맥도날드 달동점,삼산동손거성,4.0,술먹고마무리는 맥도날드
맥도날드 달동점,Sun L,4.0,"주차는 좀 많이 불편합니다
드라이브 스루는 되지 않고 배달은 됩니다
2층에도 좌석이 넉넉히 있는편입니다
키오스크가 아직 없는게 단점입니다"
맥도날드 달동점,스칸맥 (맥스칸),4.0,알바분들 친절하시고 코로나 아닐 땐 좌석도 꽤 여유 있었어요. 주차가 좀 안좋다는거 드라이브스루가 없다는게 단점이에요. 상대적으로 응대가 빠릅니다.
맥도날드 달동점,서주환,5.0,정말 맛있어요 맛있게 잘먹었습니다 배달기사분 친절하시네요
맥도날드 달동점,윤문희,5.0,직원분들이 매우 친절함.QR코드체크도 꼼꼼히 신경쓰고 있어서 안심.
맥도날드 달동점,Marco Han,4.0,버거보단 사이드가 맛난곳
맥도날드 달동점,희서,5.0,제 주문이 조금 늦었는데 엄청 친절하게 알려주시고 신경써 주셨어요 자주 가는 곳이에요
맥도날드 달동점,우끼끼,3.0,종종 집에올때 포장해옵니다
맥도날드 달동점,이경진,5.0,"이 동네에서 오래된 장소예요.
여전히 친절하고 맛도 좋아요"
맥도날드 달동점,노윤창,3.0,맥도날드는 맥도날드인데 연식탓인가? 아님 비싼 임대료 탓인가? 너무 아담한 느낌은 요즘의 맥도날드 건물들과 비교는 된다ㅠ
맥도날드 달동점,하라씽,5.0,직원도 친절하고 넓음 그래서인지 에어컨을 1층만틀고 2층은 안틀어놓음
맥도날드 달동점,틱톡커소연쓰,1.0,"1층.2층 운영하고 있었으며,2층손님이 4테이블이나 있음에도 불구 에어컨 미 작동상태. 불쾌했음.애들이 소리지르고 뛰어 다녀도  제지 하는 직원 없었음."
맥도날드 달동점,아리공주랑곰돌이엄마,5.0,"자주 가는 곳이예요.1,2층으로 되어있고..요즘 신입알바가 버벅거리긴하지만 친절해요"
맥도날드 달동점,Alex Kim,4.0,"매장이 넓고 2층 공간도 있다.
위치가 좋아 편리하다.
다만 장애인들은 이용이 불가능하다."
맥도날드 달동점,pajama74 Lee,4.0,직원들이친절하고음식도빨리나와서좋아요.
맥도날드 달동점,Shin Seung-Uk (Ahae),4.0,저녁에는 2층 화장실은 이용 할 수 있으나 테이블 공간을 폐쇄하여 1층이 다소 협소했음
맥도날드 달동점,유Knuckle,4.0,친절들 하시고요 무엇보단 방역에 대응을 잘 하시네요
맥도날드 달동점,사공슈터,3.0,"코로나땜에 2층을 이용하지 못했지만
친절하셨어요"
맥도날드 달동점,이은지,5.0,직원들이 모두 마스크를 착용하고있었고 한메뉴 할때마다 손소독제을 사용하고 있어서 안심됐어요
맥도날드 달동점,유성후,5.0,달동24시 맥도날드 배고플때 자주갑니다
맥도날드 달동점,개복치인생,5.0,해피밀 사묵고 스폰지밥 장난감 겟!2월18일부터 집게사장님도 나옵니다
맥도날드 달동점,김수진,5.0,직원분들 친절하고 맛도 좋아요
맥도날드 달동점,seungheon son,5.0,여기맛좋움친절매우
맥도날드 달동점,최옥순,4.0,새벽을 여는 이웃들에 공간
맥도날드 달동점,프로덕션 봄:박감독,3.0,직원들은 친절하고 공간도 넓지만 맥도널드일뿐.
맥도날드 달동점,정인숙,2.0,저녁늦게간적이있었음ㆍ주변환경넘지전분하구ㆍ기계고장난건지ㆍ한참기다렸음ㆍ비도오고정말짜증났음
맥도날드 달동점,그래응,4.0,"매장 넓고 2층 있음. 빨리 나온다.
맛은 맥도날드 맛이다"
맥도날드 달동점,류윈현,4.0,달동 도로변에 위치한 패스트푸드 전문점입니다
맥도날드 달동점,HY,4.0,맥드라이브가 없긴 하지만 접근성이 좋아서 가기 좋다.
맥도날드 달동점,이정희,3.0,맥도날드치곤 작은 매장이지만 맛은 괜찮았던 곳. 주차장이 넘 협소하다.
맥도날드 달동점,김화순,5.0,"박말남직원분  항상친절하고
상냥하십니다"
맥도날드 달동점,Cham,5.0,커피마시러 자주가는데 분위기 괜찮습니다 테이블이 좀 더럽고 음식이 늦게나오는건 단점
맥도날드 달동점,설탕공장,4.0,사람들 많은데 주문빠르고 친절했어요 ㅎ
맥도날드 달동점,김민규,5.0,장소와 서비스가 적절하게 배치됨
맥도날드 달동점,High Heon,3.0,포장지를 햄버거에 맞게 안써서 혼란을 겪음
맥도날드 달동점,Ulmok Ahn,5.0,항상 친절하고 좋음
맥도날드 달동점,똥꼬&콩이&징징이집사,5.0,"주차장도 있고, 접근성이 좋아요."
맥도날드 달동점,엄재용,1.0,맥도날드 자체가 너무 맛이 없어짐. 미친 한국 맥날 사장년 바꿔라.
맥도날드 달동점,고옥남,2.0,"테이블이매우지저분했읍
캣찹이 늘어붓어서
불결했읍"
맥도날드 달동점,김종일,3.0,"그다지 특별할부분 없는 맥도날드 매장
1,2층으로 매장이 구성되어 있음."
맥도날드 달동점,강채영,4.0,유모차끌고 갔는데 입구가 계단이라 직원분이 도와주셔서 감사했어요.
맥도날드 달동점,김성우,5.0,직원친절하고 깨끗해서 좋아요
맥도날드 달동점,이영한,5.0,맥도날드 리뷰가 필요한가요..
맥도날드 달동점,하진석,5.0,2층에 자리 많아요
맥도날드 달동점,ᄒ제시카,4.0,개인적으로울산에서젤맛잇는곳^^
맥도날드 달동점,최진호,3.0,그냥 맥도날든데 무인 주문기가 없네여
맥도날드 달동점,Hyuk-Joo kwon,5.0,드라이브스루가 편한데 세차장으로 들어가는거 조심하세요
맥도날드 달동점,JONGMIN PARK,3.0,널찍하고 2층이 있어 좋음
맥도날드 달동점,여남수,5.0,"깨끗하고,친절해요."
맥도날드 달동점,쩡희,3.0,"밤되니 시끌벅적하지만 어쩔수는 없져
그리고 청소른 잘못하시는지 테이블이 초큼 더러워용"
맥도날드 달동점,최수혁,5.0,정말 직원분 매너가 좋습니다
맥도날드 달동점,서주환,5.0,아주 맛있어요
맥도날드 달동점,Minwoo Kim,5.0,알바생이 이쁘나 문제는 비싸다
맥도날드 달동점,김은영,4.0,주차장이 없긴 하지만 괜찮아요
맥도날드 달동점,몽돌이,3.0,가끔 맥카페 한잔합니다
맥도날드 달동점,인선생,3.0,드라이브 쓰루로 초코콘 사지마세요 차안이 초코콘됨
맥도날드 달동점,김용한 (James Kim),4.0,알바분들이 친절해요
맥도날드 달동점,Cho howon (꿀꿀이비엔나),4.0,달동 맥도날드ㅡ학창시절에 많이 갔었는데ㅎㅎ
맥도날드 달동점,박영기,4.0,24시간 영업해서 좋아요
맥도날드 달동점,배선화,1.0,"맥도날드는 갈수록 별로예요.
ㅡㅡ."
맥도날드 달동점,최종현,4.0,위치가 좋지만 주차장이 아쉽
맥도날드 달동점,Gang-wook Jeong,3.0,매장은2층도있음.
맥도날드 달동점,김병석 (닥터그린),1.0,햄버거에 야채가 너무 적다.
맥도날드 달동점,박세현,5.0,술먹고 집에가기전 밀쉐가 짱임
맥도날드 달동점,김윤주,5.0,친절한직원분들
맥도날드 달동점,박승배,3.0,좁고 낡은 맥도날드. 드라이브 쓰루도 없다.
맥도날드 달동점,강인,1.0,빵은 푸석푸석 감튀는 매우짬
맥도날드 달동점,감의찬,5.0,개인적으로 무지좋아하는 패스트푸드점
맥도날드 달동점,박신애박신애,5.0,올케언니심부름했어요
맥도날드 달동점,조승욱,4.0,옆건물 서브웨이 더좋다
맥도날드 달동점,Bhio Joo,1.0,진짜 최악임   점장이 있긴 한건지
맥도날드 달동점,전근호,3.0,청결하지못함
맥도날드 달동점,권오성,5.0,좋아요 넓고 깨끗해요
맥도날드 달동점,박인희,5.0,위치가 좋아요
맥도날드 달동점,김하나,4.0,맥세권이라 자주갑니다
맥도날드 달동점,김현우,5.0,그냥 맛있음 평범함
맥도날드 달동점,k Ms,5.0,맛이좋고 서비스만점
맥도날드 달동점,최수택,1.0,커피와 햄버거는 짱!!!
맥도날드 달동점,Peter Park,4.0,2층 라운지가 좋았음
맥도날드 달동점,홍영기,5.0,나도 짱이다 별이 다섯개
맥도날드 달동점,박진현,4.0,당신이 생각하는 바로 그 맛 그 분위기
맥도날드 달동점,짱서나,4.0,내가생각하고아는그맥도날드
맥도날드 달동점,Wh Park,5.0,주차가 힘들어요
맥도날드 달동점,로프타는남자SAFERS,3.0,뭐 맥날은 노멀하니
맥도날드 달동점,cheol soo kim,4.0,깨끗하게 친절 합니다
맥도날드 달동점,하늘땅,5.0,남구지역중 젤 맛나는곳
맥도날드 달동점,김봉순,4.0,전반적으로  친절
맥도날드 달동점,권철,4.0,사람이 바글바글합니다
맥도날드 달동점,천진규,3.0,일반적인 맥도날드 입니다.
맥도날드 달동점,SJ Y,3.0,동네에 하나라 가지만 그냥 그럼
맥도날드 달동점,김성훈,5.0,친절. 빠른 응대 궁..
맥도날드 달동점,김재훈,5.0,슈비버거 맛있내요^^
맥도날드 달동점,Zzzz,3.0,평범한 맥날입니다
맥도날드 달동점,엄혜영,4.0,맥도날드 햄버거 맛있어요
맥도날드 달동점,김기민,3.0,"테이블 서비스 x
드라이브스루 x"
맥도날드 달동점,Blue After,4.0,맛있습니다. 좋아요!
맥도날드 달동점,성민장,5.0,간단하게 먹기 최고
맥도날드 달동점,박순양,1.0,빅맥 이벤트 안되는듯
맥도날드 달동점,정말이쁜 (아이유),5.0,햄버거는 역시 맥도날드
맥도날드 달동점,쩡234,5.0,빅맥은 언제느 옳음
맥도날드 달동점,순도리,4.0,맥드라이브 가있어요
맥도날드 달동점,고고,3.0,평범한 익슉한 맥도날드^^
맥도날드 달동점,이영채,5.0,만족해요
맥도날드 달동점,노성미,5.0,소프트아스크림... 바닐라... 딸기 맛있네용!!!!
맥도날드 달동점,브리,3.0,양아치넘많다
맥도날드 달동점,박선주,5.0,굿
맥도날드 달동점,블롱페,3.0,주변 은행갔다가 들르기
맥도날드 달동점,seokki shin,4.0,다 비슷해요
맥도날드 달동점,KR JANG,4.0,맛나요~~^^
맥도날드 달동점,ㄱㄱㄱ,4.0,헤헤 초코콘 마딧듭니다....
맥도날드 달동점,김영실,5.0,좋아요
맥도날드 달동점,허정희,2.0,좋았어요!^^
맥도날드 달동점,김billy,4.0,24시간 운영
맥도날드 달동점,D D,2.0,맥도날드는 망한듯
맥도날드 달동점,김천용,5.0,맛있어요
맥도날드 달동점,김태원,3.0,평범한 커피숖
맥도날드 달동점,dada hwang,4.0,친절합니다
맥도날드 달동점,김창호,5.0,좋았어요
맥도날드 달동점,김성엽,4.0,굿
맥도날드 달동점,west side,4.0,위치가 굿
맥도날드 달동점,홀롤롤롤로로로(Overture),4.0,굿
맥도날드 달동점,tae han kim,3.0,믿고 찾는 맥도날드
