place_id,user_id,score,comment
이중생업,🌿주관적 평가,4.0,가격대를 생각하면 나쁘지 않은 퀄리티와 맛임 자극적이긴 하지만. 다만 가게에 손님이 많아서 웨이팅이 있을 수 있고 가게가 조용하진 않음. 그래도 서비스가 좋고 마지막엔 요구르트까지 주셔서 서비스에 5점을 주고 싶음.지금은 많이 바꼈나보네요 별점 수정함.
이중생업,김뚤레,1.0,대충 얼마 정도 기다려야 하나요?여쭤봤더니 제가 그걸 어떻게 말씀드려요? 라는 답변을 하시던 알바분이 기억에 남습니다.요리 자체도 별로입니다. 서비스라도 좋았다면 돈이 덜 아까웠을텐데요. Sns 홍보할 시간에 알바관리부터 하면 좋을 것 같습니다.
이중생업,화이트컨슈머,1.0,간이 너무 쌔서 애들이랑은 절대 못올맛 ..어우 소금 한트럭 먹은 기분..
이중생업,맛있는거,3.0,맛있지만 맛에비해 가격이 조금있는것 같아요! (하지만 분위기 좋고 엄청 친절하심!! ) 나갈때 항상 밝게 인사하며 입가심하라고 야구르트 주는데 잘먹었어요!
이중생업,LH극혐,5.0,
이중생업,콩콩,3.0,평범
이중생업,애깅이,5.0,
이중생업,생각좀하자!,4.0,나쁘지 않은 맛과 가게분위기
이중생업,고독한시식가,1.0,여기 요리는 별로던데
이중생업,ㅇ,3.0,챠슈카츠시켰는데 다 식어서 퍽퍽해진 상태로 갖다줬어요. 우리끼리 농담삼아 잘못서빙된거 1시간 뒀다가 우리 갖다준거 아니냐고 했는데 그정도였어요… 대신에 매운불고기볶음밥은 정말 맛있었어요. 챠슈카츠가 시그니쳐메뉴인만큼 기대많이 했고 2개 시키려고 했었는데 하나만 시키길 잘했다는 생각을 했네요. 분위기 좋고 친절하신데 노래가 좀 분위기와 어울리지 않았어요.
이중생업,JY,5.0,울산에서 이만한 곳 찾기 힘듬.롯데백화점에서 엎어지면 코 닿는 거리에 있음.데려온 사람 백이면 백 다 만족했었습니다.점원들이 기본적으로 친절하긴 한데 바빠서 그런지 말투나 행동에 조금씩 바쁜티가 배어나오긴 합니다.그래도 친절하게 대하려고 노력하는 티가 나서 기분 나쁜적은 없었습니다.계산하고 나올 때 야구르트 주십니다.맛있게 마시고 가게 입구에 있는 쓰레기통에 버리시면 됩니다.이하로는 먹어본 메뉴만차슈 카츠 정식 : 그냥 차슈만 계속 먹다보면 질릴 수 있음. 직원도 그걸 알기에 처음에 같이 나오는 소스와 반찬들과 같이 먹으면 맛있다고 친절하게 알려주심. 차슈 컨디션에 따라 조금 퍽퍽함 ~ 부드러움 왔다갔다 하는듯. 그래도 맛은 확실히 있어서 간판메뉴라고 칠 만 한듯.닭 안심 카츠 정식 : 적당히 담백하면서 튀김도 바삭하니 맛있음. 딱 생각한 안심카츠 느낌. 차슈 카츠랑 같이 주문해서 나눠먹는걸 추천.매콤 불고기 볶음밥 : 불맛이 가미된 볶음밥. 양념과 함께 볶아진 밥알이 약간 나시고랭 생각나는 맛임. 충분히 맜있음.
이중생업,떼잉,4.0,차슈국수 국물 좋았음. 차슈 카츠는 좀 느끼했음. 무난하게 점심 먹기 괜찮은 곳.
이중생업,J,3.0,
이중생업,팜,5.0,파스타는 정말로 너무너무 맛있어서 가까이 있다면 매일 가고 싶은 그런 맛입니다!ㅠㅠ
이중생업,csa,5.0,"삼산 최고의 가성비 임에도 불구하고 뛰어난 서비스와 맛, 재방문 200%"
이중생업,dtt,5.0,맛있고 가격도 그리 비싸지도 않고. 닭껍질 만두 기름지긴한데 맛있음. 하이볼 레몬 크기 좀만 더 작아도 될 듯 ㅋㅋ
이중생업,Miscellaneous,4.0,메뉴는 다 맛있었는데 하이볼이 저랑 안맞았는지 먹자마자 두통에 시달렸어요ㅠ
이중생업,썬,5.0,챠슈 맛나유ㅎㅎ
이중생업,hiko,4.0,"챠슈국수, 카츠정식 모두 맛있음."
이중생업,986,5.0,차슈 돈가스 맛있음
이중생업,꾸우루,3.0,낫 배드
이중생업,롬,4.0,
이중생업,_,2.0,
이중생업,초코아이스크림,4.0,울산에 갈 때면 꼭 들릴 맛집! 닭강정 크림 파스타와 차슈 국수 모두 맛있다
이중생업,짹짹,4.0,차슈가츠... 간만에 턱운동 제대러 했네요. 국수는 맛잇어요. 국수나 파스타 먹는걸로 ㅎ 계산 후 요구르트 서비스 좋아요
이중생업,asrtty,5.0,
이중생업,안광섭,5.0,
이중생업,솔직간결,3.0,"친절하지는 않음, 근데 차슈국수, 덮밥 맛있음. 음식 맛이 좋아 또 가긴 갈 예정. 밑에 분 말처럼 마스크는 안 씀."
이중생업,Ku,2.0,들어와서 안내 받을때까지 서있었는데 기다리다 대기명단에 이름 적으니까 갑자기 들어오세요 하더니 테이블 안내 안하고 다른손님한테 가서 응대해주고나서 원하는자리 앉으라고....그리고 더 중요한건 주방직원 2~3명이 마스크를 안쓰고 일하시네요....맛은 괜찮은데 15500원까지는 아닌거같아요...가격 = -☆태도 = -☆위생 = -☆ 맛    = ⭐분위기 = ⭐
이중생업,맛집사냥꾼,5.0,엄청 친절하시고 설명해주신대로 명이나물에 싸먹었더니 밥도둑이여씀 ㅠ
이중생업,우디,3.0,인테리어 이쁘고 친절함. 음식 맛은 아쉬움.
이중생업,맛집좋긔!,4.0,굿
이중생업,a,4.0,
이중생업,고영근,5.0,생긴지 2달정도? 안되었다고 들었는데 파스타랑 차슈카츠 정식... 정말 미친듯이 맛있었음.사장님?? 직원분께서 요구르트 빨대꽂아서 주신게 너무 센스가 좋았답.. 분위기도좋고 맛있고 ㅎㅎ귣
이중생업,도시맛객,4.0,
