place_id,user_id,score,comment,Unnamed: 0.1,Unnamed: 0
태화강국가정원 안내센터,심성보,5.0,,,
태화강국가정원 안내센터,허프란치스코,4.0,,,
태화강국가정원 안내센터,Imsoo Yun,5.0,,,
태화강국가정원 안내센터,T.B All,4.0,태화강 국가정원 안내센터는 기념품 판매 및 국가정원 소개 및 안내를 맡고 있다. 건물이 크고 깨끗하다.,,
태화강국가정원 안내센터,표지영,5.0,꽃이 너무 너무 예쁜 정원이었습니다^^,,
태화강국가정원 안내센터,Hyewon Jeon,5.0,"안내센터 내의 기념품점에 방문했는데, 생각보다 울산 기념품 종류가 많아서 좋았어요! 울산사람이지만 스티커랑 고래연필이 마음에 들어서 구매했습니다. 기념품인 만큼 실용적인 것보다 아기자기한 장식품들이 좀 더 늘어났으면 좋겠네요:) 공모전 같은 걸 진행해도 좋을 것 같다는 생각이 들어요!",,
태화강국가정원 안내센터,S.D Jeon,5.0,생태 태화강 ..기념품 가게도 있어요,,
태화강국가정원 안내센터,김선중,4.0,친절해요~^^,,
태화강국가정원 안내센터,dongsam kim,5.0,태화강국가정원,,
태화강국가정원 안내센터,Joo suk Park,5.0,👍👍👍👍👍…,,
태화강국가정원 안내센터,山本哲也,3.0,분수가 재미 …,,
태화강국가정원 안내센터,구름옷,5.0,,,
태화강국가정원 안내센터,이정호,5.0,,,
태화강국가정원 안내센터,jaegun “갤럭시” oh,5.0,,,
태화강국가정원 안내센터,심성보,5.0,,,
태화강국가정원 안내센터,허프란치스코,4.0,,,
태화강국가정원 안내센터,Imsoo Yun,5.0,,,
태화강국가정원 안내센터,T.B All,4.0,태화강 국가정원 안내센터는 기념품 판매 및 국가정원 소개 및 안내를 맡고 있다. 건물이 크고 깨끗하다.,,
태화강국가정원 안내센터,표지영,5.0,꽃이 너무 너무 예쁜 정원이었습니다^^,,
태화강국가정원 안내센터,Hyewon Jeon,5.0,"안내센터 내의 기념품점에 방문했는데, 생각보다 울산 기념품 종류가 많아서 좋았어요! 울산사람이지만 스티커랑 고래연필이 마음에 들어서 구매했습니다. 기념품인 만큼 실용적인 것보다 아기자기한 장식품들이 좀 더 늘어났으면 좋겠네요:) 공모전 같은 걸 진행해도 좋을 것 같다는 생각이 들어요!",,
태화강국가정원 안내센터,S.D Jeon,5.0,생태 태화강 ..기념품 가게도 있어요,,
태화강국가정원 안내센터,김선중,4.0,친절해요~^^,,
태화강국가정원 안내센터,dongsam kim,5.0,태화강국가정원,,
태화강국가정원 안내센터,Joo suk Park,5.0,👍👍👍👍👍…,,
태화강국가정원 안내센터,山本哲也,3.0,분수가 재미 …,,
태화강국가정원 안내센터,구름옷,5.0,,,
태화강국가정원 안내센터,이정호,5.0,,,
태화강국가정원 안내센터,jaegun “갤럭시” oh,5.0,,,
태화강국가정원 안내센터,심성보,5.0,,,
태화강국가정원 안내센터,허프란치스코,4.0,,,
태화강국가정원 안내센터,Imsoo Yun,5.0,,,
태화강국가정원 안내센터,김정훈,4.0,그늘이 좀더 있으면 좋았을걸,0.0,0.0
