place_id,user_id,score,comment,Unnamed: 0.1,Unnamed: 0
정자해수욕장,삼산동손거성,5.0,바다는 동해바다지😎🌊…,,
정자해수욕장,Fantazije,5.0,"해수욕장 조기폐장으로...사람이 없어서
코로나19 종식되기만을...",,
정자해수욕장,Erick Yee,3.0,시골 해수욕장.. 불편한 점이 있지만 보통수준. 교통은 불편함.,,
정자해수욕장,TriMan Sun,5.0,몇 번이고 다시 찾게 되네요,,
정자해수욕장,Hyunwook Kim,2.0,몽돌해변으로 유명한 정자해수욕장.,,
정자해수욕장,귀또리,5.0,조용하고 파도소리가 좋아요,,
정자해수욕장,Seungwon Choe,3.0,날씨는 무척 더워도 동해 바다라 물이 너무 차갑네요. 장점으로는 모래가 아닌 작은 돌맹이들로 이루어져서 모래 묻을 걱정이 없어요. 바다물도 차고 바다도 동해바다인데 깨끗하지도 않아요.,,
정자해수욕장,신해철,5.0,"울산동구에서 가까워서 주말에 한번씩 드라이브가면서 자주 지나가는데 바닷가 근처라 시원한 해풍이 자주 불고 인근에 커피숍, 다양한 먹거리들이 많아서 좋아요.",,
정자해수욕장,원빈,3.0,해변이 좋네요,,
정자해수욕장,한효성,5.0,"울산시내에서얼마멀지도않은곳에경치가예술이라힐링이절로됩니다~~
점점발전하고있고...유명한카페거의다오션뷰로있어요~~",,
정자해수욕장,단지,5.0,캠핑 다음날 해뜨는 모습 이맛에 갑니다,,
정자해수욕장,김종하,4.0,항상 깨끗하게 사용해주세요.,,
정자해수욕장,낙지유투브,4.0,"생각보다 인프라 절 갖춰짐
주차시설이 너무 빈약함 근데..",,
정자해수욕장,은강,1.0,갔다가 물에 빠짐,,
정자해수욕장,Jaewook Lee,4.0,몽돌과 모래해변을 같이 볼수 있어요.,,
정자해수욕장,Sungju Kang,4.0,크지 않지만 아늑한 느낌이다.,,
정자해수욕장,JU K,4.0,몽돌 죠음 근처엔 카페밖에..,,
정자해수욕장,제이피제이피 (제이피),5.0,더러움,,
정자해수욕장,서재철,5.0,조용하고 가슴이 탁 트임,,
정자해수욕장,Bong Kim,4.0,Beach in ulsan. Kinda far from downtown ulsan. Went at night and there wasn't really much to see except the waves. Probably more popular during the daytime.,,
정자해수욕장,LIMA LIMA,3.0,,,
정자해수욕장,seungheon son,5.0,,,
정자해수욕장,김덕현.,5.0,,,
정자해수욕장,권태윤,5.0,,,
정자해수욕장,Sean Lee,4.0,,,
정자해수욕장,Hyungsub Yim,3.0,,,
정자해수욕장,Jiwoo Lee,5.0,,,
정자해수욕장,Philosophy Philosophy,5.0,,,
정자해수욕장,홍성택,3.0,,,
정자해수욕장,오재화,4.0,,,
정자해수욕장,son,5.0,,,
정자해수욕장,짹토,5.0,,,
정자해수욕장,sj sohn,5.0,,,
정자해수욕장,윤여일,3.0,,,
정자해수욕장,Dongyoung Kim,5.0,,,
정자해수욕장,Youngchoon Woo,1.0,,,
정자해수욕장,Hyeonhee Kim,4.0,,,
정자해수욕장,Wonhee Ko,4.0,,,
정자해수욕장,chunsig kang,5.0,,,
정자해수욕장,바닐라라떼,4.0,,,
정자해수욕장,임진성,4.0,,,
정자해수욕장,Think ing,3.0,,,
정자해수욕장,쾌산당,5.0,,,
정자해수욕장,고정자,5.0,,,
정자해수욕장,박성철,5.0,,,
정자해수욕장,이구아나,3.0,,,
정자해수욕장,soyo lee,3.0,,,
정자해수욕장,주현,5.0,,,
정자해수욕장,유이채널,4.0,,,
정자해수욕장,도재복,3.0,,,
정자해수욕장,그린테디의식덕생활,5.0,,,
정자해수욕장,Wontae Choi (Kuo),5.0,,,
정자해수욕장,PolAris 7667,5.0,도시 접근성이 가깝고 놀기 좋은곳,,
정자해수욕장,김원경,5.0,"해마다 여름이면 찾는 곳.
시원한 경치와 깔끔한 몽돌해변, 깨끗한 바다가 참 좋은 곳입니다.",,
정자해수욕장,KChan P,4.0,"모래사장 대신 검은 자갈로 덮힌 넓은 해안가가 인상적입니다. 주변이 빠르게 개발중이라 머잖아 해운대에 비견할 유명지가 될 것 같아요.,",,
정자해수욕장,메기,2.0,"캠핑카가 가득 방치된 공영주차장, 캠핑족들이 남기고 간 쓰레기. 깨진 유리조각과 병뚜껑 꼬다리, 폭죽 잔해들.",,
정자해수욕장,Chris C.H. Son,4.0,드넓은 해변에 확트인 바다. 동해바다를 확실히 느낄수있는 시원한해변,,
정자해수욕장,하야부사Delivery,5.0,유명한 해수욕장인 만큼 사람도 많았다.,,
정자해수욕장,김명수,5.0,몽돌 해수욕장이라서 앉아있기도 좋고 풍경도 너무너무 예쁘네여,,
정자해수욕장,푸른하늘,5.0,나무가 많아서 시원 그늘이 텐트 음식 다 되는거 같았어요,,
정자해수욕장,농사연습,4.0,조용하고 주차하기 좋은,,
정자해수욕장,삼산동손거성,5.0,바다는 동해바다지😎🌊…,,
정자해수욕장,Fantazije,5.0,"해수욕장 조기폐장으로...사람이 없어서
코로나19 종식되기만을...",,
정자해수욕장,Erick Yee,3.0,시골 해수욕장.. 불편한 점이 있지만 보통수준. 교통은 불편함.,,
정자해수욕장,TriMan Sun,5.0,몇 번이고 다시 찾게 되네요,,
정자해수욕장,Hyunwook Kim,2.0,몽돌해변으로 유명한 정자해수욕장.,,
정자해수욕장,귀또리,5.0,조용하고 파도소리가 좋아요,,
정자해수욕장,Seungwon Choe,3.0,날씨는 무척 더워도 동해 바다라 물이 너무 차갑네요. 장점으로는 모래가 아닌 작은 돌맹이들로 이루어져서 모래 묻을 걱정이 없어요. 바다물도 차고 바다도 동해바다인데 깨끗하지도 않아요.,,
정자해수욕장,신해철,5.0,"울산동구에서 가까워서 주말에 한번씩 드라이브가면서 자주 지나가는데 바닷가 근처라 시원한 해풍이 자주 불고 인근에 커피숍, 다양한 먹거리들이 많아서 좋아요.",,
정자해수욕장,원빈,3.0,해변이 좋네요,,
정자해수욕장,한효성,5.0,"울산시내에서얼마멀지도않은곳에경치가예술이라힐링이절로됩니다~~
점점발전하고있고...유명한카페거의다오션뷰로있어요~~",,
정자해수욕장,단지,5.0,캠핑 다음날 해뜨는 모습 이맛에 갑니다,,
정자해수욕장,김종하,4.0,항상 깨끗하게 사용해주세요.,,
정자해수욕장,낙지유투브,4.0,"생각보다 인프라 절 갖춰짐
주차시설이 너무 빈약함 근데..",,
정자해수욕장,은강,1.0,갔다가 물에 빠짐,,
정자해수욕장,Jaewook Lee,4.0,몽돌과 모래해변을 같이 볼수 있어요.,,
정자해수욕장,Sungju Kang,4.0,크지 않지만 아늑한 느낌이다.,,
정자해수욕장,JU K,4.0,몽돌 죠음 근처엔 카페밖에..,,
정자해수욕장,제이피제이피 (제이피),5.0,더러움,,
정자해수욕장,서재철,5.0,조용하고 가슴이 탁 트임,,
정자해수욕장,Bong Kim,4.0,Beach in ulsan. Kinda far from downtown ulsan. Went at night and there wasn't really much to see except the waves. Probably more popular during the daytime.,,
정자해수욕장,LIMA LIMA,3.0,,,
정자해수욕장,seungheon son,5.0,,,
정자해수욕장,김덕현.,5.0,,,
정자해수욕장,권태윤,5.0,,,
정자해수욕장,Sean Lee,4.0,,,
정자해수욕장,Hyungsub Yim,3.0,,,
정자해수욕장,Jiwoo Lee,5.0,,,
정자해수욕장,Philosophy Philosophy,5.0,,,
정자해수욕장,홍성택,3.0,,,
정자해수욕장,오재화,4.0,,,
정자해수욕장,son,5.0,,,
정자해수욕장,짹토,5.0,,,
정자해수욕장,sj sohn,5.0,,,
정자해수욕장,윤여일,3.0,,,
정자해수욕장,Dongyoung Kim,5.0,,,
정자해수욕장,Youngchoon Woo,1.0,,,
정자해수욕장,Hyeonhee Kim,4.0,,,
정자해수욕장,Wonhee Ko,4.0,,,
정자해수욕장,chunsig kang,5.0,,,
정자해수욕장,바닐라라떼,4.0,,,
정자해수욕장,임진성,4.0,,,
정자해수욕장,Think ing,3.0,,,
정자해수욕장,쾌산당,5.0,,,
정자해수욕장,고정자,5.0,,,
정자해수욕장,박성철,5.0,,,
정자해수욕장,이구아나,3.0,,,
정자해수욕장,soyo lee,3.0,,,
정자해수욕장,주현,5.0,,,
정자해수욕장,유이채널,4.0,,,
정자해수욕장,도재복,3.0,,,
정자해수욕장,그린테디의식덕생활,5.0,,,
정자해수욕장,Wontae Choi (Kuo),5.0,,,
정자해수욕장,지니팡,5.0,나만 알고싶은 해수욕장모래가 아니라 자잘한 돌맹이라살에 붙어도 금방 말라털어버려요 배달도 가능하고 지역주민들이 익숙하게 해변에서 텐트치고 그늘에 따라 이동하고ㅋㅋ 바로앞에 스타벅스도 있고요 또 오고싶어요,0.0,0.0
정자해수욕장,김진수,5.0,최고예요,1.0,1.0
정자해수욕장,토지,5.0,,2.0,2.0
정자해수욕장,오전필,5.0,,3.0,3.0
